source,reaction,flux,required_by_n_species,completion_max_required_flux,metabolite,global_id,Metabolon ID,original_vmh_id,corrected_vmh_id,id_mapping_note,reaction_mapping_note,curation_class,curation_priority
Kindschuh_2023_GVM,EX_man_m,1000,7,0.023538812,man,EX_man_m,mannose,man,man,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_rib_D_m,1000,7,0.054590807,rib_D,EX_rib_D_m,ribose,rib_D,rib_D,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_5mta_m,1000,5,0.000311714,5mta,EX_5mta_m,5-methylthioadenosine (MTA),5mta,5mta,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_fum_m,1000,4,0.003384533,fum,EX_fum_m,fumarate,fum,fum,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_succ_m,1000,4,0.027646859,succ,EX_succ_m,succinate,succ,succ,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_urea_m,1000,4,0.009200456,urea,EX_urea_m,urea,urea,urea,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_orot_m,1000,3,0.000383614,orot,EX_orot_m,orotate,orot,orot,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_pydam_m,1000,3,7.4e-06,pydam,EX_pydam_m,pyridoxamine,pydam,pydam,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_akg_m,1000,2,0.000342535,akg,EX_akg_m,alpha-ketoglutarate,akg,akg,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_amp_m,1000,2,7.74e-05,amp,EX_amp_m,AMP,amp,amp,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_mal_L_m,1000,2,0.027193127,mal_L,EX_mal_L_m,malate,mal_L,mal_L,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_alltn_m,1000,1,0.000387678,alltn,EX_alltn_m,allantoin,alltn,alltn,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_glcn_m,1000,1,0.00225598,glcn,EX_glcn_m,gluconate,glcn,glcn,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_taur_m,1000,1,0.000216333,taur,EX_taur_m,taurine,taur,taur,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_1mncam_m,1000,0,0.0,1mncam,EX_1mncam_m,1-methylnicotinamide,1mncam,1mncam,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_23dhmb_m,1000,0,0.0,23dhmb,EX_23dhmb_m,"2,3-dihydroxyisovalerate",23dhmb,23dhmb,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_2hb_m,1000,0,0.0,2hb,EX_2hb_m,2-hydroxybutyrate/2-hydroxyisobutyrate,2hb,2hb,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_34hpl_m,1000,0,0.0,34hpl,EX_34hpl_m,3-(4-hydroxyphenyl)lactate (HPLA),34hpl,34hpl,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_3aib_m,1000,0,0.0,3aib,EX_3aib_m,3-aminoisobutyrate,3aib,3aib,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_3bcrn_m,1000,0,0.0,3bcrn,EX_3bcrn_m,(R)-3-hydroxybutyrylcarnitine,3bcrn,3bcrn,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_3hivac_m,1000,0,0.0,3hivac,EX_3hivac_m,beta-hydroxyisovalerate,3hivac,3hivac,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_3hmp_m,1000,0,0.0,3hmp,EX_3hmp_m,3-hydroxyisobutyrate,3hmp,3hmp,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_3mhis_m,1000,0,0.0,3mhis,EX_3mhis_m,1-methylhistidine,3mhis,3mhis,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_3mlda_m,1000,0,0.0,3mlda,EX_3mlda_m,1-methyl-4-imidazoleacetate,3mlda,3mlda,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_4aabutn_m,1000,0,0.0,4aabutn,EX_4aabutn_m,4-acetamidobutanoate,4aabutn,4aabutn,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_4gubut_m,1000,0,0.0,4gubut,EX_4gubut_m,4-guanidinobutanoate,4gubut,4gubut,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_4izp_m,1000,0,0.0,4izp,EX_4izp_m,imidazole propionate,4izp,4izp,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_4ohbut_m,1000,0,0.0,4ohbut,EX_4ohbut_m,4-hydroxybutyrate (GHB),4ohbut,4ohbut,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_4pyrdx_m,1000,0,0.0,4pyrdx,EX_4pyrdx_m,pyridoxate,4pyrdx,4pyrdx,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_4tmeabutn_m,1000,0,0.0,4tmeabutn,EX_4tmeabutn_m,deoxycarnitine,4tmeabutn,4tmeabutn,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_5g2oxpt_m,1000,0,0.0,5g2oxpt,EX_5g2oxpt_m,2-oxoarginine*,5g2oxpt,5g2oxpt,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_5oxpro_m,1000,0,0.0,5oxpro,EX_5oxpro_m,5-oxoproline,5oxpro,5oxpro,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_C01507_m,1000,0,0.0,C01507,EX_C01507_m,mannitol/sorbitol,C01507,C01507,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_C02712_m,1000,0,0.0,C02712,EX_C02712_m,N-acetylmethionine,C02712,C02712,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_C03413_m,1000,0,0.0,C03413,EX_C03413_m,diacetylspermidine*,C03413,C03413,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_C08261_m,1000,0,0.0,C08261,EX_C08261_m,azelate (C9-DC),C08261,C08261,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_C10164_m,1000,0,0.0,C10164,EX_C10164_m,picolinate,C10164,C10164,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_HC00319_m,1000,0,0.0,HC00319,EX_HC00319_m,malonate,HC00319,HC00319,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_HC00591_m,1000,0,0.0,HC00591,EX_HC00591_m,alpha-ketoglutaramate*,HC00591,HC00591,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_HC02216_m,1000,0,0.0,HC02216,EX_HC02216_m,1-methyladenine,HC02216,HC02216,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_L2aadp_m,1000,0,0.0,L2aadp,EX_L2aadp_m,2-aminoadipate,L2aadp,L2aadp,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_Lfmkynr_m,1000,0,0.0,Lfmkynr,EX_Lfmkynr_m,N-formylkynurenine,Lfmkynr,Lfmkynr,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_Lkynr_m,1000,0,0.0,Lkynr,EX_Lkynr_m,kynurenine,Lkynr,Lkynr,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_Lpipecol_m,1000,0,0.0,Lpipecol,EX_Lpipecol_m,pipecolate,Lpipecol,Lpipecol,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_M00336_m,1000,0,0.0,M00336,EX_M00336_m,13-HODE + 9-HODE,M00336,M00336,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_M00653_m,1000,0,0.0,M00653,EX_M00653_m,2-hydroxyglutarate,M00653,M00653,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_M02451_m,1000,0,0.0,M02451,EX_M02451_m,maltotetraose,M02451,M02451,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_M02505_m,1000,0,0.0,M02505,EX_M02505_m,N1-Methyl-2-pyridone-5-carboxamide,M02505,M02505,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_M02749_m,1000,0,0.0,M02749,EX_M02749_m,phytosphingosine,M02749,M02749,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_M02913_m,1000,0,0.0,M02913,EX_M02913_m,glycerophosphoethanolamine,M02913,M02913,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_M03165_m,1000,0,0.0,M03165,EX_M03165_m,sedoheptulose,M03165,M03165,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_N1aspmd_m,1000,0,0.0,N1aspmd,EX_N1aspmd_m,(N(1) + N(8))-acetylspermidine,N1aspmd,N1aspmd,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_N1sprm_m,1000,0,0.0,N1sprm,EX_N1sprm_m,N(1)-acetylspermine,N1sprm,N1sprm,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_Nacasp_m,1000,0,0.0,Nacasp,EX_Nacasp_m,N-acetylaspartate (NAA),Nacasp,Nacasp,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_acgal_m,1000,0,0.0,acgal,EX_acgal_m,N-acetylglucosamine/N-acetylgalactosamine,acgal,acgal,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_acglu_m,1000,0,0.0,acglu,EX_acglu_m,N-acetylglutamate,acglu,acglu,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_acile_L_m,1000,0,0.0,acile_L,EX_acile_L_m,N-acetylisoleucine,acile_L,acile_L,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_acleu_L_m,1000,0,0.0,acleu_L,EX_acleu_L_m,N-acetylleucine,acleu_L,acleu_L,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_acnam_m,1000,0,0.0,acnam,EX_acnam_m,N-acetylneuraminate,acnam,acnam,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_acrn_m,1000,0,0.0,acrn,EX_acrn_m,acetylcarnitine (C2),acrn,acrn,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_adpac_m,1000,0,0.0,adpac,EX_adpac_m,adipate,adpac,adpac,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_ala_B_m,1000,0,0.0,ala_B,EX_ala_B_m,beta-alanine,ala_B,ala_B,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_aprut_m,1000,0,0.0,aprut,EX_aprut_m,N-acetylputrescine,aprut,aprut,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_avite1_m,1000,0,0.0,avite1,EX_avite1_m,alpha-tocopherol,avite1,avite1,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_betald_m,1000,0,0.0,betald,EX_betald_m,betaine aldehyde,betald,betald,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_bgly_m,1000,0,0.0,bgly,EX_bgly_m,hippurate,bgly,bgly,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_c4crn_m,1000,0,0.0,c4crn,EX_c4crn_m,butyrylcarnitine (C4),c4crn,c4crn,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_c51crn_m,1000,0,0.0,c51crn,EX_c51crn_m,tiglyl carnitine (C5),c51crn,c51crn,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_cala_m,1000,0,0.0,cala,EX_cala_m,3-ureidopropionate,cala,cala,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_chol_m,1000,0,0.0,chol,EX_chol_m,choline,chol,chol,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_cholp_m,1000,0,0.0,cholp,EX_cholp_m,phosphocholine,cholp,cholp,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_chsterols_m,1000,0,0.0,chsterols,EX_chsterols_m,cholesterol sulfate,chsterols,chsterols,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_citrL_m,1000,0,0.0,citr_L,EX_citrL_m,citrulline,citr_L,citr_L,exact_vmh_id,agora2_high_confidence_reaction_alias,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_creat_m,1000,0,0.0,creat,EX_creat_m,creatine,creat,creat,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
